1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7B000000694F2641
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Feb 26 12:53:01 CET 2020
Mission Sample Count:  1017
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Feb 26 12:53:01 CET 2020
Total Mission Samples:  1017
Total Device Samples:  13791
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/02/20 12:53:01,%RH,42,903
26/02/20 13:03:01,%RH,71,66
26/02/20 13:13:01,%RH,73,207
26/02/20 13:23:01,%RH,76,723
26/02/20 13:33:01,%RH,70,087
26/02/20 13:43:01,%RH,67,412
26/02/20 13:53:01,%RH,67,953
26/02/20 14:03:01,%RH,68,491
26/02/20 14:13:01,%RH,58,978
26/02/20 14:23:01,%RH,68,491
26/02/20 14:33:01,%RH,76,229
26/02/20 14:43:01,%RH,80,577
26/02/20 14:53:01,%RH,82,438
26/02/20 15:03:01,%RH,81,513
26/02/20 15:13:01,%RH,81,513
26/02/20 15:23:01,%RH,81,513
26/02/20 15:33:01,%RH,80,577
26/02/20 15:43:01,%RH,79,152
26/02/20 15:53:01,%RH,79,152
26/02/20 16:03:01,%RH,80,104
26/02/20 16:13:01,%RH,79,63
26/02/20 16:23:01,%RH,79,63
26/02/20 16:33:01,%RH,81,513
26/02/20 16:43:01,%RH,81,513
26/02/20 16:53:01,%RH,81,513
26/02/20 17:03:01,%RH,81,513
26/02/20 17:13:01,%RH,80,104
26/02/20 17:23:01,%RH,77,214
26/02/20 17:33:01,%RH,78,188
26/02/20 17:43:01,%RH,79,152
26/02/20 17:53:01,%RH,77,703
26/02/20 18:03:01,%RH,79,152
26/02/20 18:13:01,%RH,79,152
26/02/20 18:23:01,%RH,77,703
26/02/20 18:33:01,%RH,78,672
26/02/20 18:43:01,%RH,77,703
26/02/20 18:53:01,%RH,78,188
26/02/20 19:03:01,%RH,77,214
26/02/20 19:13:01,%RH,76,723
26/02/20 19:23:01,%RH,76,723
26/02/20 19:33:01,%RH,76,723
26/02/20 19:43:01,%RH,77,214
26/02/20 19:53:01,%RH,76,723
26/02/20 20:03:01,%RH,76,723
26/02/20 20:13:01,%RH,76,723
26/02/20 20:23:01,%RH,77,214
26/02/20 20:33:01,%RH,76,723
26/02/20 20:43:01,%RH,77,703
26/02/20 20:53:01,%RH,77,214
26/02/20 21:03:01,%RH,77,703
26/02/20 21:13:01,%RH,77,703
26/02/20 21:23:01,%RH,77,214
26/02/20 21:33:01,%RH,77,214
26/02/20 21:43:01,%RH,77,703
26/02/20 21:53:01,%RH,77,703
26/02/20 22:03:01,%RH,77,214
26/02/20 22:13:01,%RH,77,703
26/02/20 22:23:01,%RH,77,703
26/02/20 22:33:01,%RH,77,214
26/02/20 22:43:01,%RH,77,703
26/02/20 22:53:01,%RH,77,703
26/02/20 23:03:01,%RH,78,188
26/02/20 23:13:01,%RH,77,703
26/02/20 23:23:01,%RH,77,703
26/02/20 23:33:01,%RH,77,703
26/02/20 23:43:01,%RH,77,703
26/02/20 23:53:01,%RH,77,703
27/02/20 00:03:01,%RH,77,214
27/02/20 00:13:01,%RH,77,703
27/02/20 00:23:01,%RH,78,188
27/02/20 00:33:01,%RH,77,214
27/02/20 00:43:01,%RH,77,703
27/02/20 00:53:01,%RH,78,188
27/02/20 01:03:01,%RH,77,703
27/02/20 01:13:01,%RH,77,703
27/02/20 01:23:01,%RH,77,214
27/02/20 01:33:01,%RH,77,703
27/02/20 01:43:01,%RH,77,703
27/02/20 01:53:01,%RH,77,703
27/02/20 02:03:01,%RH,78,188
27/02/20 02:13:01,%RH,78,672
27/02/20 02:23:01,%RH,78,672
